Time,Temperature,AlfaAmilase,AlfaAmilase_Grain,BetaAmilase,BetaAmilase_grain,Starch,Dextrins,Glucose,Maltose,Maltotriose,Limit_Dextrins,SolidosFermentaveis,SolidosNaoFermentaveis,SolidosTotais,PercFermentaveis,Extrato,MashingEfficiency,Dp1,Dp2,Dp3,Dp4Plus
2.242242242,64,15363.13803,287208.8569,31887.54056,938358.2568,102.5708249,2.178532522,7.164276588,21.76275331,1.393855286,13.8892684,30.32088518,16.06780092,148.959511,20.35511863,4.63886861,31.1418088,4.809546258,14.60984476,0.935727619,10.78669017
2.322322322,64,15807.35715,284004.9574,32648.66303,930023.7154,101.9530117,1.997217919,7.199526074,22.23045861,1.484224302,14.12644087,30.91420899,16.12365879,148.9908795,20.74906135,4.703786777,31.57097128,4.83219248,14.9206842,0.99618467,10.82190993
2.402402402,64,16245.31523,280844.0519,33388.40397,921772.7406,101.3215948,1.853298463,7.232791565,22.68700092,1.576583175,14.35026424,31.49637566,16.2035627,149.0215331,21.13545271,4.769993836,32.00875562,4.853521108,15.22397498,1.05795662,10.87330291
2.482482482,64,16677.09695,277725.5599,34107.17029,913604.369,100.6771162,1.74057254,7.264531916,23.13474004,1.670852601,14.56382585,32.07012456,16.30439839,149.0516391,21.51611666,4.837452295,32.45487486,4.873835644,15.52129193,1.120989082,10.9387582
2.562562563,64,17102.7858,274648.9087,34805.36191,905517.6495,100.0201135,1.653275003,7.295141513,23.5760984,1.766953961,14.76977931,32.63819387,16.42305432,149.0813617,21.89287347,4.906124819,32.90904218,4.893396083,15.81424944,1.185227946,11.01616871
2.642642643,64,17522.46417,271613.5334,35483.37199,897511.6438,99.35111908,1.58627095,7.324949238,24.01336522,1.864809376,14.97033746,33.20312384,16.55660841,149.1108513,22.26740947,4.975973225,33.3709665,4.912418629,16.10437135,1.250619495,11.10355703
2.722722723,64,17936.21333,268618.8768,36141.58693,889585.4255,98.67065997,1.535151848,7.354221803,24.44856852,1.964341761,15.16729485,33.76713208,16.70244669,149.1402387,22.64119487,5.046957877,33.84034999,4.931078202,16.39300615,1.317110511,11.19915513
2.802802803,64,18344.11345,265664.3891,36780.38654,881738.0803,97.97925741,1.49624945,7.383169897,24.88341122,2.065474871,15.36206906,34.33205599,16.85831851,149.1696319,23.01544594,5.11903745,34.31688732,4.949512714,16.68128486,1.384648366,11.30144138
2.882882883,64,18746.24363,262749.5279,37400.14416,873968.706,97.27742655,1.466591537,7.411955726,25.31925749,2.168133354,15.55575149,34.89934657,17.02234302,149.1991161,23.39112152,5.192168959,34.80026621,4.967828173,16.97011225,1.453181098,11.40914468
2.962962963,64,19142.68189,259873.7582,38001.2267,866276.4117,96.56567616,1.443823269,7.440700914,25.75715235,2.27224279,15.74916047,35.47009606,17.19298374,149.228756,23.76894174,5.26630798,35.29016875,4.986103963,17.26018031,1.522657463,11.52122701
3.043043043,64,19533.50519,257036.5524,38583.99483,858660.3185,95.84450834,1.426114391,7.469494008,26.19785951,2.377729735,15.94289178,36.04508325,17.36900617,149.2585978,24.14941839,5.341408943,35.7862731,5.004397817,17.55199359,1.593026982,11.63685472
3.123123123,64,19918.78947,254237.3896,39148.80301,851119.5586,95.11441828,1.412065597,7.498397202,26.64190623,2.484521758,16.13736389,36.6248252,17.54942949,149.288673,24.53288951,5.417425468,36.28825524,5.022750255,17.84589929,1.664239965,11.75536572
3.203203203,64,20298.60963,251475.7564,39695.99963,843653.2754,94.37589399,1.400622288,7.527452105,27.08962822,2.592547477,16.33285676,37.2096278,17.73347904,149.3190008,24.91955317,5.494310684,36.79579058,5.041188371,18.14211726,1.736247539,11.87623741
3.283283283,64,20673.03956,248751.1459,40225.9271,836260.6234,93.62941608,1.390999855,7.556684514,27.54121017,2.701736591,16.52954395,37.79963127,17.92054381,149.3495912,25.30949766,5.572017508,37.30855548,5.059728959,18.44076703,1.809001665,11.99905783
3.363363363,64,21042.15216,246063.0584,40738.92194,828940.7681,92.87545756,1.382621296,7.586108273,27.9967208,2.81201991,16.72751863,38.39484898,18.11013993,149.3804465,25.70272742,5.650498891,37.82622843,5.078381042,18.74189123,1.882455152,12.123501
3.443443443,64,21406.01934,243411.0007,41235.31491,821692.8856,92.11448366,1.375066839,7.615728346,28.45614143,2.923329387,16.92681418,38.99519916,18.30188102,149.4115638,26.09918413,5.729708018,38.34849105,5.097147871,19.04547459,1.956561669,12.24930691
3.523523524,64,21764.71203,240794.4864,41715.43105,814516.1627,91.34695165,1.368034535,7.645543168,28.9193888,3.035598135,17.12742008,39.6005301,18.49545462,149.4429364,26.49876339,5.809598472,38.87502891,5.116028468,19.35145916,2.031275756,12.37626553
3.603603604,64,22118.30022,238213.0357,42179.58981,807409.7966,90.57331065,1.361309638,7.675546467,29.38633287,3.148760458,17.32929413,40.21063979,18.69060377,149.4745542,26.90132779,5.890124356,39.40553218,5.135018805,19.65975615,2.106552834,12.50420439
3.683683684,64,22466.85295,235666.1751,42628.10516,800372.9947,89.79400157,1.354741058,7.705728652,29.8568106,3.262751866,17.53237179,40.82529112,18.88711285,149.5064055,27.30671704,5.971240397,39.93969606,5.154112711,19.97025512,2.182349214,12.63297902
3.763763764,64,22810.43831,233153.4377,43061.28561,793404.9748,89.0094569,1.348223946,7.736077836,30.33063625,3.377509095,17.7365731,41.44422318,19.08479704,149.5384771,27.71475541,6.052902022,40.47722124,5.173302541,20.28283077,2.258622102,12.76246583
3.843843844,64,23149.1235,230674.3628,43479.43438,786504.9645,88.22010065,1.341686833,7.766580595,30.80760892,3.492970126,17.94180771,42.06715964,19.28349454,149.5707548,28.1252573,6.135065418,41.01781411,5.192579662,20.59734803,2.33532961,12.89255681
3.923923924,64,23482.97479,228228.4958,43882.84943,779672.2013,87.42634825,1.335081785,7.797222538,31.28751842,3.609074193,18.1479788,42.69381515,19.48306059,149.603224,28.53803148,6.217687574,41.56118704,5.21193483,20.91366589,2.412430759,13.02315556
